Probe Set ID	Percentile
1553253_at	-49.3081
1553254_at	-64.1824
1553255_at	-86.3446
1553257_at	-96.1447
1553258_at	45.5591
1553260_s_at	-9.52456
1553261_x_at	-68.3236
1553262_a_at	-86.6516
1553263_at	12.5673
1553264_a_at	42.3706
1553265_at	2.37182
1553266_at	-85.7862
1553267_a_at	68.6722
1553268_at	-78.445
1553269_at	-59.0543
1553271_at	82.3085
1553272_at	25.8664
1553274_a_at	66.8664
1553275_s_at	-31.2343
1553276_at	-56.8208
1553277_at	-52.6917
1553279_at	-68.4591
1553280_at	-85.1334
1553281_at	1.77028
1553282_at	-75.3468
1553284_s_at	-69.0102
1553285_s_at	-80.0221
1553286_at	-9.11221
1553288_a_at	-68.3413
1553292_s_at	8.04196
1553293_at	-67.5094
1553295_at	-74.0512
1553296_at	-72.2245
1553297_a_at	96.9327
1553298_at	-81.409
1553299_at	-57.4983
1553300_a_at	-44.4088
1553301_a_at	-39.5192
1553303_at	-88.2693
1553304_at	36.3458
1553306_at	-91.9528
1553310_at	28.0413
1553311_at	22.5342
1553313_s_at	-74.5035
1553314_a_at	-74.165
1553315_at	-28.4879
1553316_at	49.8577
1553317_s_at	19.9149
1553318_at	-88.3046
1553319_at	-29.3449
1553320_s_at	-74.3522
1553321_a_at	-48.7242
1553322_s_at	-32.0791
1553323_a_at	-39.6088
1553325_at	50.945
1553326_at	-82.3229
1553327_a_at	-90.1649
1553328_a_at	-95.2721
1553329_at	-70.205
1553330_at	21.1581
1553333_at	21.8809
1553335_x_at	-85.1744
1553336_a_at	-48.0899
1553338_at	71.0495
1553340_s_at	3.87583
1553341_at	67.5698
1553344_at	-55.5919
1553346_a_at	-86.0099
1553347_s_at	-87.7102
1553348_a_at	-35.5353
1553349_at	57.3758
1553350_at	-81.6178
1553351_at	-76.3064
1553352_x_at	-67.05
1553354_a_at	-64.4222
1553355_at	-86.4481
1553356_at	-71.6279
1553357_at	-61.1757
1553359_at	-83.4985
1553361_x_at	-94.938
1553362_at	-59.0533
1553363_at	4.64922
1553364_at	-97.9273
1553365_at	-90.0825
1553366_s_at	-84.4267
1553367_a_at	7.59106
1553369_at	-83.8785
1553371_at	-84.4529
1553372_at	39.5096
1553373_at	10.7426
1553374_at	49.1315
1553375_at	51.5867
1553376_a_at	24.8042
1553378_a_at	-61.0543
1553380_at	-82.1707
1553383_at	-82.6484
1553385_at	17.0037
1553386_at	40.9975
1553387_at	43.6334
1553388_at	-59.1511
1553389_at	69.4793
1553390_at	2.96505
1553391_at	-44.7398
1553392_at	-29.94
1553394_a_at	-72.2204
1553395_a_at	52.3097
1553396_a_at	19.1342
1553397_at	47.7763
1553398_at	-83.2722
1553399_a_at	81.2734
1553400_a_at	-34.6652
1553401_at	-74.0769
1553402_a_at	-54.0272
1553403_at	70.6066
1553405_a_at	-66.5538
1553407_at	24.5127
1553409_at	-59.8535
1553410_a_at	-94.0427
1553411_s_at	-58.933
1553412_at	-96.453
1553413_at	-67.2229
1553415_at	-71.7146
1553417_at	5.5744
1553418_a_at	-75.1063
1553420_at	-60.9121
1553422_s_at	-42.0099
1553423_a_at	-83.0108
1553424_at	-82.1279
1553425_at	-66.7694
1553426_at	-41.8108
1553427_at	57.6743
1553428_at	-65.3158
1553429_at	-97.8143
